stageName,frequencyHz,sourceChain,destinationChain,magnitudeDb,phaseDegrees
pre-PA,-7187500.0,0,0,0.0,0.0
pre-PA,-7187500.0,1,0,-20.15898949773341,-17.408969028479063
pre-PA,-7187500.0,0,1,-12.970372738480302,109.74082081189593
pre-PA,-7187500.0,1,1,0.0,0.0
pre-PA,-7148437.5,0,0,0.0,0.0
pre-PA,-7148437.5,1,0,-20.157426665902353,-17.50845521558322
pre-PA,-7148437.5,0,1,-12.966788127922463,109.30717761386916
pre-PA,-7148437.5,1,1,0.0,0.0
pre-PA,-7109375.0,0,0,0.0,0.0
pre-PA,-7109375.0,1,0,-20.155851357762646,-17.60788609057561
pre-PA,-7109375.0,0,1,-12.963233765760428,108.87349601814641
pre-PA,-7109375.0,1,1,0.0,0.0
pre-PA,-7070312.5,0,0,0.0,0.0
pre-PA,-7070312.5,1,0,-20.15426355336181,-17.707262603157993
pre-PA,-7070312.5,0,1,-12.959709648835505,108.43977637178584
pre-PA,-7070312.5,1,1,0.0,0.0
pre-PA,-7031250.0,0,0,0.0,0.0
pre-PA,-7031250.0,1,0,-20.15266323340481,-17.806585703847414
pre-PA,-7031250.0,0,1,-12.956215774005177,108.00601902139398
pre-PA,-7031250.0,1,1,0.0,0.0
pre-PA,-6992187.5,0,0,0.0,0.0
pre-PA,-6992187.5,1,0,-20.151050379255764,-17.905856343943988
pre-PA,-6992187.5,0,1,-12.95275213814331,107.57222431313009
pre-PA,-6992187.5,1,1,0.0,0.0
pre-PA,-6953125.0,0,0,0.0,0.0
pre-PA,-6953125.0,1,0,-20.149424972939613,-18.005075475498824
pre-PA,-6953125.0,0,1,-12.9493187381403,107.1383925927101
pre-PA,-6953125.0,1,1,0.0,0.0
pre-PA,-6914062.5,0,0,0.0,0.0
pre-PA,-6914062.5,1,0,-20.147786997143697,-18.104244051281505
pre-PA,-6914062.5,0,1,-12.945915570903272,106.70452420541088
pre-PA,-6914062.5,1,1,0.0,0.0
pre-PA,-6875000.0,0,0,0.0,0.0
pre-PA,-6875000.0,1,0,-20.146136435219375,-18.203363024747823
pre-PA,-6875000.0,0,1,-12.94254263335625,106.27061949607409
pre-PA,-6875000.0,1,1,0.0,0.0
pre-PA,-6835937.5,0,0,0.0,0.0
pre-PA,-6835937.5,1,0,-20.14447327118347,-18.30243335000706
pre-PA,-6835937.5,0,1,-12.939199922440318,105.83667880911048
pre-PA,-6835937.5,1,1,0.0,0.0
pre-PA,-6796875.0,0,0,0.0,0.0
pre-PA,-6796875.0,1,0,-20.14279748971977,-18.40145598178948
pre-PA,-6796875.0,0,1,-12.935887435113802,105.40270248850386
pre-PA,-6796875.0,1,1,0.0,0.0
pre-PA,-6757812.5,0,0,0.0,0.0
pre-PA,-6757812.5,1,0,-20.14110907618042,-18.500431875413465
pre-PA,-6757812.5,0,1,-12.932605168352435,104.96869087781525
pre-PA,-6757812.5,1,1,0.0,0.0
pre-PA,-6718750.0,0,0,0.0,0.0
pre-PA,-6718750.0,1,0,-20.1394080165873,-18.599361986752804
pre-PA,-6718750.0,0,1,-12.929353119149516,104.5346443201868
pre-PA,-6718750.0,1,1,0.0,0.0
pre-PA,-6679687.5,0,0,0.0,0.0
pre-PA,-6679687.5,1,0,-20.13769429763329,-18.698247272203663
pre-PA,-6679687.5,0,1,-12.926131284516087,104.10056315834596
pre-PA,-6679687.5,1,1,0.0,0.0
pre-PA,-6640625.0,0,0,0.0,0.0
pre-PA,-6640625.0,1,0,-20.135967906683586,-18.797088688651638
pre-PA,-6640625.0,0,1,-12.922939661481083,103.66644773460953
pre-PA,-6640625.0,1,1,0.0,0.0
pre-PA,-6601562.5,0,0,0.0,0.0
pre-PA,-6601562.5,1,0,-20.134228831776866,-18.89588719343861
pre-PA,-6601562.5,0,1,-12.9197782470915,103.23229839088765
pre-PA,-6601562.5,1,1,0.0,0.0
pre-PA,-6562500.0,0,0,0.0,0.0
pre-PA,-6562500.0,1,0,-20.132477061626467,-18.99464374432973
pre-PA,-6562500.0,0,1,-12.916647038412542,102.79811546868783
pre-PA,-6562500.0,1,1,0.0,0.0
pre-PA,-6523437.5,0,0,0.0,0.0
pre-PA,-6523437.5,1,0,-20.130712585621474,-19.093359299479985
pre-PA,-6523437.5,0,1,-12.913546032527798,102.36389930911903
pre-PA,-6523437.5,1,1,0.0,0.0
pre-PA,-6484375.0,0,0,0.0,0.0
